catalog_id	name	current_disposition	closure_class	source_grade	target_disposition	recommended_package	authoritative_or_best_evidence	required_closure
ENC-0502	FOCAL character set	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/FOCAL_character_set	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0504	FSS-UTF	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> UTF-8	iconvex core registry	https://en.wikipedia.org/wiki/FSS-UTF	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: UTF-8.
ENC-0505	GB 12052	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q9363228 | https://en.wikipedia.org/wiki/GB_12052	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0506	GB 12345	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q10847246 | https://en.wikipedia.org/wiki/GB_12345	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0507	GB 13131–91	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q55682812	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0508	GB 13132‐91	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q55682892	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0509	GB/T 16500–1998	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q55683030	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0510	GB/T 7589–87	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q55682422	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0511	GB/T 7590–87	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q55682721	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0512	GB/T 8565.2–88	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q55683269	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0519	GCCS (character set)	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/GCCS_%28character_set%29	Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0521	GEM character set	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/GEM_character_set	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-0527	Government Chinese Character Set	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/Government_Chinese_Character_Set	Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0540	Hardware code page	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	platform mechanism (hardware code page)	catalog-only	https://en.wikipedia.org/wiki/Hardware_code_page	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0546	Hollerith consensus punched-card code	codec_gap	gap_blocked_source_declared_variant_cells	B1 complete secondary historical chart with four explicitly variable cells	retain_unimplemented_blocker	iconvex_specs	https://homepage.cs.uiowa.edu/~jones/cards/codes.html (artifact SHA-256 824e61a9687f7fa0b9c9dd3c966ca02020bf8af1ab6671e9bd2e131f22f47b18; diagram and prose declare four variable question-mark cells) | repo:iconvex_specs/priv/sources/punched-card-codes/hollerith_consensus_iowa_824e61a9_blocker.md	Do not implement the generic Hollerith consensus profile while its source leaves four variant cells unresolved. Pin a versioned primary table that fixes every accepted mask and Unicode binding, the canonical inverse, and blank/invalid/control semantics.
ENC-0547	Hong Kong Supplementary Character Set	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> versioned BIG5-HKSCS family	iconvex_specs	https://en.wikipedia.org/wiki/Hong_Kong_Supplementary_Character_Set	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: versioned BIG5-HKSCS family.
ENC-0548	HP calculator character sets	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/HP_calculator_character_sets	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-0549	HP Roman	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/HP_Roman	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-0550	HP Roman Extension	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/HP_Roman_Extension	Likely duplicate of CP1050/HP Roman Extension; close only after exact source identity is pinned. Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0554	HP-LINE-DRAWING	codec_gap	gap_uncorroborated_source	X source explicitly unverified	retain_unimplemented_blocker	iconvex_specs	https://www.kermitproject.org/k95charsets.html	Kermit u_hpline table is explicitly marked “Needs to be checked.” Blocked: the available Kermit table says it needs checking. Require independent vendor-primary corroboration before implementation.
ENC-0564	i-mode emoji	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_telecom	https://www.wikidata.org/wiki/Q11224982	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-0662	IBM-12708	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0737	IBM-4396	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0751	IBM-4953	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0754	IBM-4965	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0755	IBM-4970	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0774	IBM-57345	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0775	IBM-61175	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0777	IBM-62210	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0778	IBM-62211	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0779	IBM-62215	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0780	IBM-62218	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0781	IBM-62222	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0782	IBM-62223	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0783	IBM-62224	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0784	IBM-62228	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0785	IBM-62235	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0786	IBM-62238	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0787	IBM-62239	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0788	IBM-62245	codec_gap	gap_external_hard_blocker	X exact public mapping/state contract absent	retain_unimplemented_blocker	iconvex_specs	repo:iconvex/research/HIGH_PRIORITY_CODEC_GAPS.tsv | https://www.ibm.com/docs/en/i/7.4.0?topic=information-ccsid-values-defined-i	Retain codec_gap and the precise blocker in HIGH_PRIORITY_CODEC_GAPS.tsv; implement only after an exact public mapping/state contract is obtained.
ENC-0961	IBMEL card character set	codec_gap	gap_blocked_unnamed_unicode_binding	B1 complete secondary punch table; one semantic Unicode binding absent	retain_unimplemented_blocker	iconvex_specs	https://homepage.cs.uiowa.edu/~jones/cards/codes.html (SHA-256 824e61a9687f7fa0b9c9dd3c966ca02020bf8af1ab6671e9bd2e131f22f47b18); repo:iconvex_specs/priv/sources/ambiguous-primary-codecs/BLOCKERS.md	Do not implement until a primary Electrologica source or authoritative registry binds mask 0x282 subscript ten and defines whether it is one encoded character or a Unicode sequence.
ENC-0964	Ideographic Research Group	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	organization (IRG)	catalog-only	https://en.wikipedia.org/wiki/Ideographic_Research_Group	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-0977	International Reference Alphabet	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/International_Reference_Alphabet	Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0984	Iran System encoding	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/Iran_System_encoding	Duplicate catalog concept of codec-gap ENC-0976; merge catalog records, not codec implementations. Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-0985	Iran System encoding standard	codec_gap	gap_blocked_license_and_conflicting_unicode_semantics	B1 authoritative mapping is redistribution-restricted; licensed secondary semantics conflict	retain_unimplemented_blocker	iconvex_specs	IRAN SYSTEM to Unicode v1.0 (2000-01-21; 13439 bytes; SHA-256 e31f8d325640aff859f2ce53c6b69e650a0084c42ba6dcbaddaeccdf82b0e1e3; All Rights reserved) | https://en.wikipedia.org/w/index.php?oldid=1330978730 (presentation-form mapping) | repo:iconvex_specs/priv/sources/secondary-source-qualified-single-byte/BLOCKERS.md	Do not implement until redistribution permission covers the authoritative table or a freely redistributable versioned specification selects one Unicode semantic profile and defines its inverse; do not silently substitute presentation forms for joining-control sequences.
ENC-0997	ISO 10585	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/ISO_10585	Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-1067	ISO/IEC 10367	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/ISO/IEC_10367	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-1075	ISO/IEC 2022	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/ISO/IEC_2022	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-1076	ISO/IEC 646	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/ISO/IEC_646	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-1104	ITU T.61	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> T.61 7-bit/8-bit family	iconvex_specs	https://en.wikipedia.org/wiki/ITU_T.61	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: T.61 7-bit/8-bit family.
ENC-1111	Japanese language in EBCDIC	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/Japanese_language_in_EBCDIC	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-1121	JEF codepage	codec_gap	gap_concrete_primary_missing	B concrete codec; authoritative full mapping/profile missing	retain_unimplemented_blocker	iconvex_specs	https://www.wikidata.org/wiki/Q6108069	Do not implement from a tertiary chart. First pin a complete authoritative mapping, byte/state serialization, version, undefined-byte behavior and licensing.
ENC-1145	JUS I.B1.004	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/JUS_I.B1.004	Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-1150	KanjiTalk	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	platform/product identity (KanjiTalk)	catalog-only	https://en.wikipedia.org/wiki/KanjiTalk	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-1154	KOI character encodings	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/KOI_character_encodings	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-1159	KOI8-O	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/KOI8-O	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-1164	KPS 10721	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q55683587	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-1166	KS X 1002	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q12581371 | https://en.wikipedia.org/wiki/KS_X_1002	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-1167	KS X 1003	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q1719055	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-1168	KS X 1005	codec_gap	gap_exact_repertoire_no_transport_or_version	D exact repertoire/property but no unique transport/version	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://www.wikidata.org/wiki/Q16647792	Treat as repertoire/profile metadata until a normative serialized transport and exact version are pinned; implement only explicitly named transported children.
ENC-1238	Macintosh Font X encoding	research_candidate	candidate_concrete_primary_or_profile_missing	B concrete codec; authoritative full mapping/profile missing	catalog_reclassification	iconvex_specs	https://en.wikipedia.org/wiki/Macintosh_Font_X_encoding	Retain research_candidate until a complete authoritative mapping and exact version/transport are pinned; no tertiary-table implementation.
ENC-1250	Main code page (Russian)	research_candidate	candidate_blocked_primary_source_unavailable	B1 cited primary scans unavailable	blocked_source_unavailable	iconvex_specs	http://www.wdigest.ru/mpss1986/mpss04_1986_p62.jpg | http://www.wdigest.ru/mpss1986/mpss04_1986_p63.jpg (both cited scans returned 404 during the 2026-07-18 closure audit)	Find and pin a replacement primary scan before deriving or naming a byte mapping; do not reconstruct the table from uncited secondary summaries.
ENC-1251	MAKSCII	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/MAKSCII	Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-1254	Matsushita JR series	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/Matsushita_JR_series	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-1255	Mattel Aquarius	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/Mattel_Aquarius	Duplicate catalog concept of codec-gap ENC-1247; merge catalog records. Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-1256	Mattel Aquarius character set	codec_gap	gap_concrete_primary_missing	B concrete codec; authoritative full mapping/profile missing	retain_unimplemented_blocker	iconvex_specs	https://www.wikidata.org/wiki/Q48743939	Do not implement from a tertiary chart. First pin a complete authoritative mapping, byte/state serialization, version, undefined-byte behavior and licensing.
ENC-1265	Modified HP Roman-8	research_candidate	candidate_blocked_multiple_versions_and_ambiguous_unicode_bindings	B1 secondary source defines two variants with alternative Unicode mappings	retain_unimplemented_blocker	iconvex_specs	https://en.wikipedia.org/w/index.php?oldid=1361711799 (wikitext SHA-256 c4cd07bb1be71bd5267eb9f6222839451ce344637e39e8a5b4ad0d5ffe4832a0; 1984 variant I and 1986 variant II; alternative Unicode bindings) | repo:iconvex_specs/priv/sources/secondary-source-qualified-single-byte/BLOCKERS.md	Do not implement the generic name or choose alternatives arbitrarily. Pin primary charts, register the 1984 and 1986 variants as separate identities, and document every Unicode binding and canonical inverse.
ENC-1268	Mojikyō	codec_gap	gap_noncodec_reclass	R reclassify non-codec	mapping_notation/repertoire (Mojikyo M-numbers/fonts), not portable serialized bytes	catalog-only	https://www.wikidata.org/wiki/Q830907 | https://en.wikipedia.org/wiki/Mojiky%C5%8D	Change catalog disposition; do not expose as an encoding.
ENC-1271	MouseText	research_candidate	candidate_probable_alias_or_duplicate	C probable alias/duplicate; identity proof required	resolve_identity_then_alias_or_implement	iconvex_specs	https://en.wikipedia.org/wiki/MouseText	Do not alias yet. Resolve exact revision/profile and prove complete table/state equality; otherwise retain a distinct candidate.
ENC-1275	Murray code	codec_gap	gap_concrete_primary_missing	B concrete codec; authoritative full mapping/profile missing	retain_unimplemented_blocker	iconvex_telecom	https://en.wikipedia.org/wiki/List_of_information_system_character_sets | https://en.wikipedia.org/wiki/Baudot_code	Murray code needs exact alphabet/version, shift-state and framing profile. Do not implement from a tertiary chart. First pin a complete authoritative mapping, byte/state serialization, version, undefined-byte behavior and licensing.
ENC-1277	National Replacement Character Set	research_candidate	candidate_family_split_or_exact_repertoire_no_transport	D family/repertoire; split exact transported children	family_or_repertoire_metadata; implement_named_transported_children_only	iconvex_specs	https://en.wikipedia.org/wiki/National_Replacement_Character_Set	Keep as family/repertoire metadata and enumerate exact children. Only children with a normative byte/state transport become codecs.
ENC-1288	NEC APC character set	codec_gap	gap_concrete_primary_missing	B concrete codec; authoritative full mapping/profile missing	retain_unimplemented_blocker	iconvex_specs	https://www.wikidata.org/wiki/Q35146040 | https://en.wikipedia.org/wiki/NEC_APC_character_set	Do not implement from a tertiary chart. First pin a complete authoritative mapping, byte/state serialization, version, undefined-byte behavior and licensing.
ENC-1295	NSCII	codec_gap	gap_concrete_primary_missing	B concrete codec; authoritative full mapping/profile missing	retain_unimplemented_blocker	iconvex_specs	https://www.wikidata.org/wiki/Q109349916	Do not implement from a tertiary chart. First pin a complete authoritative mapping, byte/state serialization, version, undefined-byte behavior and licensing.
ENC-1306	PCW character set	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> AMSTRAD-CPM-PLUS	iconvex_specs	https://en.wikipedia.org/wiki/PCW_character_set	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: AMSTRAD-CPM-PLUS.
ENC-1311	Popularity of text encodings	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	article/statistic, not an encoding	catalog-only	https://en.wikipedia.org/wiki/Popularity_of_text_encodings	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
ENC-1315	PostScript Standard Encoding	research_candidate	candidate_existing_alias_or_family_complete	A0 closure via existing canonical implementation/family	alias_or_family_link -> ADOBE-STANDARD-ENCODING	iconvex_specs	https://en.wikipedia.org/wiki/PostScript_Standard_Encoding	Close by registering a proven alias or documenting the already complete versioned family; add alias-equivalence tests and inventory linkage, not a duplicate codec. Canonical target: ADOBE-STANDARD-ENCODING.
ENC-1316	PrintableString	research_candidate	candidate_noncodec_reclass	R reclassify non-codec	ASN.1 repertoire restriction (PrintableString); serialization belongs to BER/DER/etc.	catalog-only	https://en.wikipedia.org/wiki/PrintableString	Change catalog disposition to the named non-codec concept; exclude from codec-support totals.
